scenario,m_kg,H_m,S_m,R_m,t_open_s,v_term_free_mps,v_term_parachute_mps,t_const_free_s,t_const_parachute_s,t_land_s,v_land_mps
vary_mass,50.0,1.75,0.45,2.8,20.0,44.68441978664727,4.655730812738976,,21.239999999999636,501.7599999998336,4.65573081273898
vary_mass,60.0,1.75,0.45,2.8,20.0,48.94932937235378,5.100097575617995,,21.359999999999634,448.4199999998821,5.100097575617999
vary_mass,75.0,1.75,0.45,2.8,20.0,54.72701396480509,5.702082435481855,,21.51999999999963,390.11999999993515,5.702082435481861
vary_mass,90.0,1.75,0.45,2.8,20.0,59.95044010684797,6.246318349334816,,21.659999999999627,347.67999999997375,6.246318349334822
vary_mass,100.0,1.75,0.45,2.8,20.0,63.193312489049255,6.584197658133772,,21.739999999999625,325.13999999999425,6.584197658133778
vary_radius,75.0,1.75,0.45,2.2,20.0,54.72701396480509,7.257195826976905,,21.899999999999622,310.50000000000756,7.257195826976913
vary_radius,75.0,1.75,0.45,2.6,20.0,54.72701396480509,6.14070416128815,,21.619999999999628,363.5799999999593,6.140704161288157
vary_radius,75.0,1.75,0.45,3.0,20.0,54.72701396480509,5.321943606449731,,21.419999999999632,416.639999999911,5.321943606449737
vary_radius,75.0,1.75,0.45,3.4,20.0,54.72701396480509,4.695832593926233,,21.259999999999636,469.69999999986277,4.695832593926238
