k,inertia,silhouette,calinski_harabasz,davies_bouldin
2,9072.0,0.21941278870743955,456.6137566137566,1.7924311508137762
3,7920.0,0.1810315817867393,386.8181818181818,1.888816014621777
4,7259.999999999987,0.15879404541105746,333.40165289256197,1.7017870032217763
5,6683.999999999989,0.16621691210754502,308.5623877917414,1.8505534862069375
6,6159.91386554622,0.1700614117580321,296.9980594921284,1.759111561890098
7,5826.969230769227,0.16290863268423697,277.87738842992667,1.7246202546433975
8,5495.465934065929,0.1653575570345853,267.2238926921288,1.6424226428761097
9,5192.681318681322,0.17178923557633527,259.84044058205325,1.5521310998711362
10,4920.3222850678785,0.17649160646943993,254.17897586849554,1.5152996702153894
