X,pass_fraction,qmax_mean,qmax_p95,mean_wait,mean_service,mean_service_time_min,lambda_per_min,mu_per_min,rho,Lq,Wq_min,L,W_min
9.3,0.23,24.99,38.05,84.36615908586023,74.2337183091029,74.24,0.1075268817204301,0.013469827586206897,1.9956989247311825,inf,inf,inf,inf
11.3,0.71,17.1,29.0,64.78943818435174,74.26067372611762,74.24,0.08849557522123894,0.013469827586206897,1.6424778761061947,inf,inf,inf,inf
13.3,0.96,11.13,19.049999999999997,46.46284578486342,74.29643526867848,74.24,0.07518796992481203,0.013469827586206897,1.3954887218045111,inf,inf,inf,inf
15.3,0.99,7.58,15.049999999999997,33.316904795281665,73.99526320901796,74.24,0.06535947712418301,0.013469827586206897,1.2130718954248365,inf,inf,inf,inf
17.3,0.99,5.5,10.0,22.532414117009235,74.15613196363337,74.24,0.057803468208092484,0.013469827586206897,1.0728323699421964,inf,inf,inf,inf
