batch_id,part_id,arrived_at,finished_at,lead_time,is_good,had_replacement
0,2,1.7360149535432954,20.739804155848965,19.00378920230567,True,False
0,3,1.7360149535432954,29.30012402515551,27.564109071612215,True,False
0,0,1.7360149535432954,36.67686764805888,34.940852694515584,True,False
1,2,9.122010953575279,47.789718663983784,38.66770771040851,False,False
1,3,9.122010953575279,60.64502986075059,51.52301890717531,True,False
0,1,1.7360149535432954,67.85593344061044,66.11991848706715,True,False
2,2,12.385031473895049,76.23826770587763,63.853236231982585,True,False
2,3,12.385031473895049,85.53010285440924,73.14507138051418,True,False
1,0,9.122010953575279,96.30861211106948,87.1866011574942,True,False
1,1,9.122010953575279,103.691955965163,94.56994501158772,True,False
3,2,24.371729851653622,110.43170771713943,86.0599778654858,True,False
3,3,24.371729851653622,116.93744993237358,92.56572008071996,True,False
2,0,12.385031473895049,125.48323493934285,113.0982034654478,True,False
4,2,30.780708668584,133.49021422358896,102.70950555500497,True,False
4,3,30.780708668584,140.1982140517671,109.41750538318311,True,False
2,1,12.385031473895049,148.79074671659995,136.4057152427049,True,False
5,2,36.51726517092898,156.2088902615959,119.69162509066693,True,False
5,3,36.51726517092898,164.57727082765962,128.06000565673065,True,False
3,0,24.371729851653622,171.23609200451793,146.86436215286432,True,False
3,1,24.371729851653622,180.54963008246858,156.17790023081497,True,False
4,0,30.780708668584,187.86455708836635,157.08384841978236,True,False
4,1,30.780708668584,194.14872858197558,163.36801991339158,True,False
5,0,36.51726517092898,203.5344972581674,167.01723208723843,True,False
6,2,59.03655342000211,208.5816591437341,149.54510572373198,True,False
6,3,59.03655342000211,213.62286997186007,154.58631655185798,True,False
7,2,61.07829799116513,220.200175483574,159.12187749240886,True,False
7,3,61.07829799116513,226.4020679378146,165.32376994664946,True,False
5,1,36.51726517092898,235.71052885588196,199.19326368495297,True,False
6,0,59.03655342000211,243.6191882273984,184.5826348073963,True,False
8,2,66.82771452570285,250.45596036840854,183.6282458427057,True,False
8,3,66.82771452570285,256.607100940404,189.77938641470115,True,False
6,1,59.03655342000211,262.98694054460276,203.95038712460064,True,False
7,0,61.07829799116513,273.7090966074116,212.63079861624647,True,False
7,1,61.07829799116513,280.18920878417725,219.11091079301212,True,False
9,2,83.18890367484792,289.51507661026864,206.32617293542071,True,False
9,3,83.18890367484792,297.1019942457627,213.91309057091476,True,False
10,2,84.18259384077567,307.00820711581974,222.82561327504408,True,False
10,3,84.18259384077567,313.0418504780148,228.85925663723913,True,False
11,2,84.63502737541519,319.6554153659414,235.02038799052622,True,False
11,3,84.63502737541519,331.0696366579279,246.43460928251272,True,False
8,0,66.82771452570285,339.66417649094655,272.8364619652437,True,False
8,1,66.82771452570285,350.11216040285535,283.2844458771525,True,False
12,2,92.43451946458283,359.70184469175564,267.2673252271728,True,False
12,3,92.43451946458283,368.0582685686907,275.6237491041079,True,False
9,0,83.18890367484792,373.1599968032992,289.97109312845123,True,False
9,1,83.18890367484792,379.03951687278055,295.8506131979326,True,False
10,0,84.18259384077567,389.7838969453463,305.60130310457066,True,False
10,1,84.18259384077567,398.62081278133064,314.438218940555,True,False
11,0,84.63502737541519,409.11226302587386,324.4772356504587,True,False
11,1,84.63502737541519,416.2454873176589,331.6104599422437,True,False
13,2,123.65459852703475,422.0343490397508,298.37975051271604,True,False
13,3,123.65459852703475,428.87685010597454,305.2222515789398,True,False
12,0,92.43451946458283,434.92938420057607,342.49486473599325,True,False
12,1,92.43451946458283,445.10502557496307,352.67050611038024,True,False
14,2,134.0686884823253,451.5187273661692,317.45003888384383,True,False
14,3,134.0686884823253,456.0405640750537,321.97187559272834,True,False
13,0,123.65459852703475,463.61226542799164,339.9576669009569,True,False
13,1,123.65459852703475,473.82792358950934,350.1733250624746,True,False
